tract_to_msamd_income,rate_spread,population,minority_population,number_of_owner_occupied_units,number_of_1_to_4_family_units,loan_amount_000s,hud_median_family_income,applicant_income_000s,state_name,state_abbr,sequence_number,respondent_id,purchaser_type_name,property_type_name,preapproval_name,owner_occupancy_name,msamd_name,loan_type_name,loan_purpose_name,lien_status_name,hoepa_status_name,edit_status_name,denial_reason_name_3,denial_reason_name_2,denial_reason_name_1,county_name,co_applicant_sex_name,co_applicant_race_name_5,co_applicant_race_name_4,co_applicant_race_name_3,co_applicant_race_name_2,co_applicant_race_name_1,co_applicant_ethnicity_name,census_tract_number,as_of_year,application_date_indicator,applicant_sex_name,applicant_race_name_5,applicant_race_name_4,applicant_race_name_3,applicant_race_name_2,applicant_race_name_1,applicant_ethnicity_name,agency_name,agency_abbr,action_taken_name
104.5999985,,3663,54.70999908,1277,1936,4,52300,46,Virginia,VA,2556,708186,Other type of purchaser,Manufactured housing,Not applicable,Owner-occupied as a principal dwelling,,Conventional,Home purchase,Secured by a subordinate lien,Not a HOEPA loan,,,,,Brunswick County,No co-applicant,,,,,No co-applicant,No co-applicant,9301,2016,0,Male,,,,,White,Not Hispanic or Latino,Office of the Comptroller of the Currency,OCC,Loan originated
76.56999969,,7824,74.5,1856,2548,89,71700,35,Texas,TX,2161,41-1795868,Fannie Mae (FNMA),One-to-four family dwelling (other than manufactured housing),Not applicable,Owner-occupied as a principal dwelling,"Dallas, Plano, Irving - TX",Conventional,Refinancing,Secured by a first lien,Not a HOEPA loan,,,,,Dallas County,No co-applicant,,,,,No co-applicant,No co-applicant,125,2016,0,Male,,,,,White,Hispanic or Latino,Department of Housing and Urban Development,HUD,Loan originated
193.2599945,,6229,34.15000153,1630,59,120,74700,222,Illinois,IL,1661,3657,Loan was not originated or was not sold in calendar year covered by register,One-to-four family dwelling (other than manufactured housing),Not applicable,Not owner-occupied as a principal dwelling,"Chicago, Naperville, Arlington Heights - IL",Conventional,Refinancing,Secured by a first lien,Not a HOEPA loan,,,,,Cook County,No co-applicant,,,,,No co-applicant,No co-applicant,814.03,2016,0,Female,,,,,Asian,Not Hispanic or Latino,Federal Deposit Insurance Corporation,FDIC,Application approved but not accepted
104.4000015,,10083,89.69000244,1465,1586,280,60900,82,Florida,FL,77606,36-4327855,Freddie Mac (FHLMC),One-to-four family dwelling (other than manufactured housing),Preapproval was not requested,Owner-occupied as a principal dwelling,"Fort Lauderdale, Pompano Beach, Deerfield Beach - FL",Conventional,Home purchase,Secured by a first lien,Not a HOEPA loan,,,,,Broward County,No co-applicant,,,,,No co-applicant,No co-applicant,1103.42,2016,0,Male,,,,,Black or African American,Not Hispanic or Latino,Department of Housing and Urban Development,HUD,Loan originated
95.43000031,,3028,25.39999962,718,1049,145,63700,34,Oklahoma,OK,1624,41-1795868,Fannie Mae (FNMA),One-to-four family dwelling (other than manufactured housing),Not applicable,Not owner-occupied as a principal dwelling,Oklahoma City - OK,Conventional,Refinancing,Secured by a first lien,Not a HOEPA loan,,,,,Cleveland County,No co-applicant,,,,,No co-applicant,No co-applicant,2015.08,2016,0,Female,,,,,White,Not Hispanic or Latino,Department of Housing and Urban Development,HUD,Loan originated
121.2900009,,4212,17.09000015,1245,1739,159,69900,141,California,CA,125193,75-2921540,Loan was not originated or was not sold in calendar year covered by register,One-to-four family dwelling (other than manufactured housing),Not applicable,Owner-occupied as a principal dwelling,"Sacramento, Roseville, Arden-Arcade - CA",Conventional,Refinancing,Secured by a first lien,Not a HOEPA loan,,,,,Sacramento County,Male,,,,,White,Not Hispanic or Latino,82.07,2016,0,Female,,,,,White,Not Hispanic or Latino,Department of Housing and Urban Development,HUD,File closed for incompleteness
83.37999725,,7271,25.65999985,1246,1496,320,94800,116,Colorado,CO,11445,20-8921389,Freddie Mac (FHLMC),One-to-four family dwelling (other than manufactured housing),Not applicable,Owner-occupied as a principal dwelling,Boulder - CO,Conventional,Home improvement,Secured by a first lien,Not a HOEPA loan,,,,,Boulder County,No co-applicant,,,,,No co-applicant,No co-applicant,132.13,2016,0,Male,,,,,White,Not Hispanic or Latino,Department of Housing and Urban Development,HUD,Loan originated
102.9800034,,5462,29.09000015,1291,1728,326,95100,,New Jersey,NJ,66307,75-3170028,Fannie Mae (FNMA),One-to-four family dwelling (other than manufactured housing),Not applicable,Owner-occupied as a principal dwelling,"Newark - NJ, PA",Conventional,Home purchase,Not applicable,Not a HOEPA loan,,,,,Union County,Not applicable,,,,,Not applicable,Not applicable,375,2016,2,Not applicable,,,,,Not applicable,Not applicable,Department of Housing and Urban Development,HUD,Loan purchased by the institution
201.7200012,,3959,15.57999992,1131,1251,455,98600,185,Massachusetts,MA,129608,451965,Loan was not originated or was not sold in calendar year covered by register,One-to-four family dwelling (other than manufactured housing),Not applicable,Owner-occupied as a principal dwelling,"Cambridge, Newton, Framingham - MA",Conventional,Refinancing,Secured by a first lien,Not a HOEPA loan,Quality edit failure only,,,,Middlesex County,Female,,,,,Asian,Not Hispanic or Latino,3671,2016,0,Male,,,,,White,Hispanic or Latino,Consumer Financial Protection Bureau,CFPB,Loan originated
74.84999847,,6409,75.04000092,1210,1910,180,58600,133,California,CA,11891,22-3887207,Loan was not originated or was not sold in calendar year covered by register,One-to-four family dwelling (other than manufactured housing),Not applicable,Owner-occupied as a principal dwelling,"Stockton, Lodi - CA",VA-guaranteed,Refinancing,Secured by a first lien,Not a HOEPA loan,,,,,San Joaquin County,Female,,,,,Black or African American,Not Hispanic or Latino,27.01,2016,0,Male,,,,,Black or African American,Not Hispanic or Latino,Department of Housing and Urban Development,HUD,Application denied by financial institution
101.7200012,,3905,2.839999914,1170,1589,300,57100,,Indiana,IN,695,20369,Loan was not originated or was not sold in calendar year covered by register,One-to-four family dwelling (other than manufactured housing),Not applicable,Not owner-occupied as a principal dwelling,,Conventional,Home purchase,Secured by a first lien,Not a HOEPA loan,Quality edit failure only,,,,Fountain County,No co-applicant,,,,,No co-applicant,No co-applicant,9578,2016,0,Not applicable,,,,,Not applicable,Not applicable,Federal Deposit Insurance Corporation,FDIC,Loan originated
214.9499969,,6866,18.93000031,2456,244,255,74700,46,Illinois,IL,6615,413208,Private securitization,One-to-four family dwelling (other than manufactured housing),Not applicable,Owner-occupied as a principal dwelling,"Chicago, Naperville, Arlington Heights - IL",Conventional,Refinancing,Secured by a first lien,Not a HOEPA loan,Quality edit failure only,,,,Cook County,No co-applicant,,,,,No co-applicant,No co-applicant,818,2016,0,Male,,,,,White,Not Hispanic or Latino,Consumer Financial Protection Bureau,CFPB,Loan originated
125.3199997,,7055,50.22000122,2172,1725,234,86700,171,Maryland,MD,30179,13-6131491,Freddie Mac (FHLMC),One-to-four family dwelling (other than manufactured housing),Not applicable,Not owner-occupied as a principal dwelling,"Baltimore, Columbia, Towson - MD",Conventional,Home purchase,Secured by a first lien,Not a HOEPA loan,,,,,Howard County,Male,,,,,Asian,Not Hispanic or Latino,6054.02,2016,0,Male,,,,,Asian,Not Hispanic or Latino,Department of Housing and Urban Development,HUD,Loan originated
