tract_to_msamd_income,rate_spread,population,minority_population,number_of_owner_occupied_units,number_of_1_to_4_family_units,loan_amount_000s,hud_median_family_income,applicant_income_000s,state_name,state_abbr,sequence_number,respondent_id,purchaser_type_name,property_type_name,preapproval_name,owner_occupancy_name,msamd_name,loan_type_name,loan_purpose_name,lien_status_name,hoepa_status_name,edit_status_name,denial_reason_name_3,denial_reason_name_2,denial_reason_name_1,county_name,co_applicant_sex_name,co_applicant_race_name_5,co_applicant_race_name_4,co_applicant_race_name_3,co_applicant_race_name_2,co_applicant_race_name_1,co_applicant_ethnicity_name,census_tract_number,as_of_year,application_date_indicator,applicant_sex_name,applicant_race_name_5,applicant_race_name_4,applicant_race_name_3,applicant_race_name_2,applicant_race_name_1,applicant_ethnicity_name,agency_name,agency_abbr,action_taken_name
97,05.18,5791,10,2142,3698,62,55400,147,Washington,WA,794,91-2081649,Affiliate institution,One-to-four family dwelling (other than manufactured housing),Not applicable,Owner-occupied as a principal dwelling,"",Conventional,Refinancing,Secured by a subordinate lien,Not a HOEPA loan,"","","","",Mason County,Female,"","","","",White,Not Hispanic or Latino,9611,2013,0,Male,"","","","",White,Not Hispanic or Latino,National Credit Union Administration,NCUA,Loan originated
58,02.53,3528,65,880,1450,57,66600,135,Illinois,IL,146038,75-2921540,Fannie Mae (FNMA),One-to-four family dwelling (other than manufactured housing),Not applicable,Not applicable,Peoria - IL,Conventional,Refinancing,Secured by a first lien,Not a HOEPA loan,"","","","",Peoria County,Female,"","","","",White,Not Hispanic or Latino,25,2013,0,Male,"","","","",White,Not Hispanic or Latino,Department of Housing and Urban Development,HUD,Loan originated
112,04.79,4677,4,1557,2005,64,64800,51,North Dakota,ND,1754,0001007846,Loan was not originated or was not sold in calendar year covered by register,Manufactured housing,Not applicable,Owner-occupied as a principal dwelling,"",Conventional,Home purchase,Secured by a first lien,Not a HOEPA loan,"","","","",Ward County,No co-applicant,"","","","",No co-applicant,No co-applicant,113,2013,0,Female,"","","","",White,Not Hispanic or Latino,Federal Reserve System,FRS,Loan originated
151,"",17172,29,3936,4572,131,66200,83,Texas,TX,321876,0000451965,Ginnie Mae (GNMA),One-to-four family dwelling (other than manufactured housing),Not applicable,Owner-occupied as a principal dwelling,"Houston, Sugar Land, Baytown - TX",FHA-insured,Home purchase,Not applicable,Not a HOEPA loan,"","","","",Galveston County,Female,"","","","",White,Not Hispanic or Latino,7212,2013,2,Male,"","","","",White,Not Hispanic or Latino,Consumer Financial Protection Bureau,CFPB,Loan purchased by the institution
165,"",2259,10,685,680,377,77800,170,Colorado,CO,285165,0000451965,Ginnie Mae (GNMA),One-to-four family dwelling (other than manufactured housing),Not applicable,Owner-occupied as a principal dwelling,"Denver, Aurora, Broomfield - CO",FHA-insured,Home purchase,Not applicable,Not a HOEPA loan,"","","","",Douglas County,No co-applicant,"","","","",No co-applicant,No co-applicant,141,2013,2,"Information not provided by applicant in mail, Internet, or telephone application","","","","","Information not provided by applicant in mail, Internet, or telephone application","Information not provided by applicant in mail, Internet, or telephone application",Consumer Financial Protection Bureau,CFPB,Loan purchased by the institution
118,"",4969,23,1096,1541,10,45600,35,Georgia,GA,1346,0000068607,Loan was not originated or was not sold in calendar year covered by register,One-to-four family dwelling (other than manufactured housing),Not applicable,Owner-occupied as a principal dwelling,"",Conventional,Home improvement,Secured by a subordinate lien,Not a HOEPA loan,"","",Credit history,Debt-to-income ratio,Gordon County,No co-applicant,"","","","",No co-applicant,No co-applicant,9704,2013,0,Female,"","","","",White,Not Hispanic or Latino,National Credit Union Administration,NCUA,Application denied by financial institution
98,"",5481,9,1926,2343,168,61700,91,Minnesota,MN,934029,0000852218,Ginnie Mae (GNMA),One-to-four family dwelling (other than manufactured housing),Not applicable,Owner-occupied as a principal dwelling,"",FSA/RHS-guaranteed,Refinancing,Not applicable,Not a HOEPA loan,"","","","",Waseca County,Male,"","","","",White,Not Hispanic or Latino,7904,2013,2,Female,"","","","",White,Not Hispanic or Latino,Consumer Financial Protection Bureau,CFPB,Loan purchased by the institution
103,"",4818,16,1509,1810,104,65100,44,Michigan,MI,194027,0000817824,Fannie Mae (FNMA),One-to-four family dwelling (other than manufactured housing),Not applicable,Owner-occupied as a principal dwelling,"Holland, Grand Haven - MI",Conventional,Refinancing,Secured by a first lien,Not a HOEPA loan,"","","","",Ottawa County,Female,"","","","",White,Not Hispanic or Latino,220,2013,0,Male,"","","","",White,Not Hispanic or Latino,Consumer Financial Protection Bureau,CFPB,Loan originated
189,"",9219,28,2891,3706,84,49300,88,Arizona,AZ,357664,7197000003,Loan was not originated or was not sold in calendar year covered by register,One-to-four family dwelling (other than manufactured housing),Preapproval was not requested,Owner-occupied as a principal dwelling,"",Conventional,Home purchase,Secured by a first lien,Not a HOEPA loan,"","","",Collateral,Cochise County,No co-applicant,"","","","",No co-applicant,No co-applicant,18,2013,0,Male,"","","","",Black or African American,Not Hispanic or Latino,Department of Housing and Urban Development,HUD,Application denied by financial institution
128,"",4588,10,1217,1495,191,66300,63,Colorado,CO,1294,84-1496821,Loan was not originated or was not sold in calendar year covered by register,One-to-four family dwelling (other than manufactured housing),Not applicable,Owner-occupied as a principal dwelling,Greeley - CO,FSA/RHS-guaranteed,Home purchase,Secured by a first lien,Not a HOEPA loan,"","","","",Weld County,Male,"","","","",White,Not Hispanic or Latino,22,2013,0,Male,"","","","",White,Not Hispanic or Latino,Department of Housing and Urban Development,HUD,Application withdrawn by applicant
104,"",5172,29,1594,1667,105,73400,25,Illinois,IL,55741,36-4327855,Loan was not originated or was not sold in calendar year covered by register,One-to-four family dwelling (other than manufactured housing),Preapproval was not requested,Owner-occupied as a principal dwelling,"Chicago, Joliet, Naperville - IL",FHA-insured,Home purchase,Secured by a first lien,Not a HOEPA loan,"","","","",Cook County,No co-applicant,"","","","",No co-applicant,No co-applicant,8048,2013,0,"Information not provided by applicant in mail, Internet, or telephone application","","","","","Information not provided by applicant in mail, Internet, or telephone application","Information not provided by applicant in mail, Internet, or telephone application",Department of Housing and Urban Development,HUD,Application withdrawn by applicant
